cik,company,event_type,event_date,as_of_date,date_basis,source_accession,source_url,cohort,verification
883943,CHRISTOPHER & BANKS CORP,chapter11,2021-01-13,2021-01-14,petition_date_from_8k_text,0000897101-21-000029,https://www.sec.gov/Archives/edgar/data/883943/000089710121000029/cbkc210033_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
922358,FERRELLGAS PARTNERS L P,chapter11,2021-01-11,2021-01-11,8k_filing_date_fallback,0001104659-21-002790,https://www.sec.gov/Archives/edgar/data/922358/000110465921002790/tm212268d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
886835,SUPERIOR ENERGY SERVICES INC,chapter11,2020-12-07,2020-12-07,petition_date_from_8k_text,0001193125-20-311144,https://www.sec.gov/Archives/edgar/data/886835/000119312520311144/d63085d8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1399935,FHC Holdings Corp,chapter11,2020-12-03,2020-12-04,petition_date_from_8k_text,0001104659-20-132137,https://www.sec.gov/Archives/edgar/data/1399935/000110465920132137/tm2037462d2_8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1275229,"General Moly, Inc",chapter11,2020-11-18,2020-11-20,petition_date_from_8k_text,0001654954-20-012741,https://www.sec.gov/Archives/edgar/data/1275229/000165495420012741/gmo_8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
874499,GULFPORT ENERGY CORP,chapter11,2020-11-13,2020-11-16,petition_date_from_8k_text,0001213900-20-037077,https://www.sec.gov/Archives/edgar/data/874499/000121390020037077/ea129804-8k_gulfport.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,chapter11,2020-11-03,2020-11-03,8k_filing_date_fallback,0001193125-20-284830,https://www.sec.gov/Archives/edgar/data/77281/000119312520284830/d44373d8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
910612,CBL & ASSOCIATES PROPERTIES INC,chapter11,2020-11-02,2020-11-02,8k_filing_date_fallback,0001564590-20-049434,https://www.sec.gov/Archives/edgar/data/910612/000156459020049434/cbl-8k_20201029.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1567892,Keenova Therapeutics plc,chapter11,2020-10-12,2020-10-13,petition_date_from_8k_text,0001193125-20-267836,https://www.sec.gov/Archives/edgar/data/1567892/000119312520267836/d942107d8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1486159,Chord Energy Corp,chapter11,2020-09-30,2020-09-30,petition_date_from_8k_text,0001486159-20-000075,https://www.sec.gov/Archives/edgar/data/1486159/000148615920000075/oas-20200929.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1661920,Lonestar Resources US Inc.,chapter11,2020-09-30,2020-10-01,petition_date_from_8k_text,0001661920-20-000078,https://www.sec.gov/Archives/edgar/data/1661920/000166192020000078/lone-8xkbankruptcyfili.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1529463,"FTS International, Inc.",chapter11,2020-09-22,2020-09-22,8k_filing_date_fallback,0001104659-20-107423,https://www.sec.gov/Archives/edgar/data/1529463/000110465920107423/tm2031377d2_8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1281774,TOWN SPORTS INTERNATIONAL HOLDINGS INC,chapter11,2020-09-14,2020-09-14,petition_date_from_8k_text,0000921895-20-002399,https://www.sec.gov/Archives/edgar/data/1281774/000092189520002399/form8k11125001_09142020.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
904979,SHILOH INDUSTRIES INC,chapter11,2020-08-31,2020-08-31,8k_filing_date_fallback,0001193125-20-236224,https://www.sec.gov/Archives/edgar/data/904979/000119312520236224/d34976d8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1514732,"SAExploration Holdings, Inc.",chapter11,2020-08-27,2020-08-28,petition_date_from_8k_text,0001193125-20-234870,https://www.sec.gov/Archives/edgar/data/1514732/000119312520234870/d932885d8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
314808,Valaris Ltd,chapter11,2020-08-19,2020-08-19,petition_date_from_8k_text,0001104659-20-096796,https://www.sec.gov/Archives/edgar/data/314808/000110465920096796/tm2027797d1_8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
1346980,"Chaparral Energy, Inc.",chapter11,2020-08-17,2020-08-17,8k_filing_date_fallback,0001193125-20-221605,https://www.sec.gov/Archives/edgar/data/1346980/000119312520221605/d37844d8k.htm,historical_pre_2021,item_1.03+chapter11_text+voluntary_petition
