cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
1705163,Morgan Stanley Capital I Trust 2017-H1,6189,2018-01-25,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1702746,Morgan Stanley Bank of America Merrill Lynch Trust 2017-C33,6189,2018-01-25,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1706303,BANK 2017-BNK5,6189,2018-01-25,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1718322,BANK 2017-BNK8,6189,2018-01-25,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1687374,Morgan Stanley Capital I Trust 2016-BNK2,6189,2018-01-25,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1126294,"GenOn Energy, Inc.",4911,2018-01-30,2018-01-30,0001104659-18-004907,https://www.sec.gov/Archives/edgar/data/1126294/000110465918004907/a18-3982_18k.htm,,,,67,2017-11-06,True,True,False,needs_review,"parsed petition 2017-06-14 is 230d from disclosure 2018-01-30; 8-K may concern a prior case, or the date is mis-parsed"
1722194,Benchmark 2018-B1 Mortgage Trust,6189,2018-01-31,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1320414,SELECT MEDICAL HOLDINGS CORP,8060,2018-02-02,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1720474,CSAIL 2017-CX10 Commercial Mortgage Trust,6189,2018-02-06,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1721373,BANK 2017-BNK9,6189,2018-02-06,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1719959,CD 2017-CD6 Mortgage Trust,6189,2018-02-06,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1723291,Wells Fargo Commercial Mortgage Trust 2017-C42,6189,2018-02-07,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1716186,JPMDB Commercial Mortgage Securities Trust 2017-C7,6189,2018-02-07,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1464865,"Accredited Solutions, Inc.",2080,2018-02-08,2018-02-08,0001464865-18-000003,,,,,16,2013-11-19,True,False,False,rejected,stopped reporting 1542 days before the event
721447,CCA INDUSTRIES INC,2844,2018-02-09,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1728085,BANK 2018-BNK10,6189,2018-02-13,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1723306,Morgan Stanley Capital I Trust 2017-HR2,6189,2018-02-15,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1449574,"Bravatek Solutions, Inc.",7372,2018-02-16,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1394872,Ambient Water Corp,3585,2018-02-20,2018-02-20,0001052918-18-000037,https://www.sec.gov/Archives/edgar/data/1394872/000105291818000037/awc8kfeb20-18.htm,,,,39,2017-11-14,True,False,False,rejected,item 1.03 present but no Chapter 11 language in the filing
1629261,Long Blockchain Corp.,2080,2018-02-20,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
75488,PACIFIC GAS & ELECTRIC Co,4931,2018-02-23,2019-01-14,0000950157-19-000032,https://www.sec.gov/Archives/edgar/data/75488/000095015719000032/form8k.htm,2019-01-14,8k_filing_date_fallback,,96,2018-11-05,True,True,False,rejected,"total assets below 50,000,000"
1729757,John Deere Owner Trust 2018,6189,2018-02-23,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1728339,BENCHMARK 2018-B2 Mortgage Trust,6189,2018-02-27,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1727836,UBS Commercial Mortgage Trust 2018-C8,6189,2018-02-27,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1724177,UBS Commercial Mortgage Trust 2017-C7,6189,2018-02-28,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1446152,"SAUER ENERGY, INC.",3510,2018-03-02,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1342643,"WORTHINGTON ENERGY, INC.",1311,2018-03-19,2018-03-19,0001504412-18-000017,,,,,27,2015-03-05,True,False,False,rejected,stopped reporting 1110 days before the event
1731044,CITIGROUP COMMERCIAL MORTGAGE TRUST 2018-B2,6189,2018-03-20,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1729832,Wells Fargo Commercial Mortgage Trust 2018-C43,6189,2018-03-27,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
