late_filing,auditor_change,delisting,covenant,impairment,material_weakness,going_concern,cik,as_of,label,fold
1,0,1,0,0,1,1,1841420,2022-10-01,0,train
0,0,0,0,0,0,1,1388410,2019-07-01,0,train
0,0,0,0,0,0,1,1001907,2019-04-01,0,train
0,0,1,0,0,0,1,1367083,2019-04-01,0,train
0,0,0,0,0,0,0,1422841,2019-01-01,0,train
0,0,0,0,0,0,0,58492,2022-07-01,0,train
1,1,0,0,0,0,1,1253347,2022-07-01,0,train
0,0,0,0,0,0,0,1731831,2021-01-01,0,train
1,0,0,0,0,0,1,1622057,2019-07-01,0,train
0,0,0,0,0,0,0,1504379,2019-07-01,0,train
0,0,0,0,0,0,0,1035092,2020-01-01,0,train
0,0,0,0,0,1,1,1596812,2019-10-01,0,train
1,1,0,0,0,0,0,1479681,2019-04-01,0,train
0,0,0,0,0,0,0,1574291,2019-01-01,0,train
0,0,0,0,0,0,0,1101302,2020-10-01,0,train
1,0,0,0,0,1,1,926423,2021-04-01,0,train
0,0,1,0,0,0,1,895665,2021-07-01,0,train
0,0,0,0,0,0,0,1784567,2021-04-01,0,train
1,0,0,0,0,0,1,1639142,2020-10-01,0,train
0,0,1,0,0,0,0,1130598,2021-07-01,0,train
1,0,1,0,0,1,1,1830795,2023-01-01,0,train
0,0,1,0,0,0,0,922358,2019-10-01,0,train
0,0,0,0,0,0,0,928953,2020-07-01,0,train
1,0,0,0,0,1,0,792987,2021-01-01,0,train
1,1,1,0,0,1,0,1085243,2023-04-01,0,train
0,0,0,0,0,0,0,1567094,2019-10-01,0,train
0,0,0,0,0,0,0,1514743,2019-04-01,0,train
1,0,0,0,0,1,0,889348,2019-04-01,0,train
1,0,0,0,0,0,1,1592782,2019-10-01,0,train
0,0,0,0,0,0,0,91576,2019-04-01,0,train
0,0,1,0,0,0,0,1533932,2020-04-01,0,train
1,0,0,0,0,0,0,1769624,2020-10-01,0,train
1,1,1,0,1,1,0,917523,2020-01-01,0,train
0,0,0,0,0,0,0,1412095,2021-04-01,0,train
1,1,0,0,0,0,1,1626745,2019-01-01,0,train
0,0,0,0,0,0,0,1737953,2022-07-01,0,train
0,0,1,0,0,0,0,894158,2021-10-01,0,train
0,0,1,0,0,0,0,884940,2019-10-01,0,train
0,0,0,0,0,0,0,1493137,2023-01-01,0,train
0,0,0,0,0,0,0,1060391,2019-04-01,0,train
0,0,0,0,0,0,0,1730463,2019-10-01,0,train
0,1,0,0,0,0,0,1792849,2021-10-01,0,train
0,0,1,0,0,0,1,910267,2019-04-01,0,train
0,0,0,0,0,1,0,1239819,2020-10-01,0,train
0,1,0,0,0,0,0,75679,2019-01-01,0,train
